movie_id,title,genre,release_date,director,budget_usd,rating
M001,Stellar Run,Sci-Fi Thriller,2025-01-10,Arjun Varma,8200000,8.7
M002,Dark Orbit,Sci-Fi Thriller,2024-11-22,Meera Reddy,7600000,8.2
M003,Last Kingdom,Historical Drama,2025-02-14,Kiran Dev,9100000,7.9
M004,Godavari Dreams,Drama,2025-01-24,Sravani Rao,3600000,8.1
M005,Rudra Garjana,Action,2025-03-07,Vikram Teja,6800000,8.4
M006,Charminar Chase,Action,2024-12-20,Naveen Chandra,5100000,7.6
M007,Amaravati Nights,Romance,2025-02-21,Lavanya Iyer,2800000,7.3
M008,Sankranti Sandadi,Comedy,2025-01-12,Harsha Kothapalli,2300000,5.8
M009,Vijayawada Veerudu,Action,2024-10-04,Ravi Kanth,4500000,7.4
M010,Vizag Vennela,Romance,2025-03-28,Ananya Varma,2600000,7.1
M011,Kakatiya Kavacham,Drama,2023-10-09,Indu Priya,2772427,6.5
M012,Palnadu Pataas,Comedy,2024-11-23,Manasa Reddy,8384144,6.2
M013,Rayalaseema Rhythm,Musical Drama,2024-03-08,Sai Praneeth,1149957,6.6
M014,Nellore Navvulu,Drama,2024-06-01,Nithya Reddy,1122599,6.9
M015,Telangana Tigers,Musical Drama,2024-10-27,Manasa Reddy,5471300,6.8
M016,Krishna River Love,Mythological Fantasy,2024-08-26,Bhargav Naidu,7689994,6.9
M017,Warangal Warriors,Action,2023-06-13,Manasa Reddy,4445146,8.0
M018,Tirupati Trail,Family Drama,2023-08-09,Varun Kolli,3723559,7.0
M019,Bhimavaram Beats,Drama,2023-04-10,Keerthi Menon,8009298,6.6
M020,Secunderabad Stories,Family Drama,2025-04-06,Sai Praneeth,7021433,7.7
M021,Rajahmundry Raga,Crime Thriller,2024-01-23,Madhavi Dasari,5530852,7.5
M022,Kurnool Kshatriya,Thriller,2024-09-25,Sandeep Alluri,8128521,8.1
M023,Guntur Mirchi,Family Drama,2024-12-22,Madhavi Dasari,1284402,7.6
M024,Nizamabad Needa,Romance,2023-03-23,Pooja Kandula,2852791,8.0
M025,Kadapa Kathalu,Drama,2024-04-09,Aditya Polavarapu,7897025,7.2
M026,Eluru Express,Family Drama,2023-12-30,Indu Priya,6521836,6.7
M027,Anantapur Arrows,Thriller,2024-11-30,Aditya Polavarapu,1498967,7.9
M028,Karimnagar Kiratham,Sports Drama,2024-06-30,Manasa Reddy,2953622,7.7
M029,Adilabad Adavi,Comedy,2023-10-04,Sandeep Alluri,6268707,5.8
M030,Srikakulam Siri,Musical Drama,2023-11-29,Pooja Kandula,7345081,6.9
M031,Ongole Oorja,Action,2023-02-02,Varun Kolli,3546211,6.9
M032,Khammam Kranthi,Mythological Fantasy,2023-08-05,Sandeep Alluri,5657851,7.0
M033,Nalgonda Nidhi,Family Drama,2024-05-26,Dheeraj Kumar,8321260,6.8
M034,Mahbubnagar Mayajaalam,Crime Thriller,2023-05-23,Indu Priya,7149420,6.7
M035,Tenali Tension,Musical Drama,2025-02-03,Nithya Reddy,4493963,7.5
M036,Mancherial Mystery,Sports Drama,2023-08-13,Rakesh Goud,5174216,7.2
M037,Medak Memories,Crime Thriller,2023-02-18,Pooja Kandula,1819803,6.6
M038,Machilipatnam Melody,Comedy,2025-03-22,Aditya Polavarapu,4441334,6.1
M039,Araku Adventure,Sports Drama,2024-01-26,Nithya Reddy,4826287,6.5
M040,Bhadrachalam Bridge,Musical Drama,2024-07-20,Pooja Kandula,996309,6.9
M041,Dindi Diaries,Drama,2024-07-03,Varun Kolli,3138291,7.8
M042,Kondapalli Kingdom,Family Drama,2024-03-21,Rakesh Goud,4706110,6.6
M043,Falaknuma Files,Action,2025-01-06,Bhargav Naidu,5099220,8.4
M044,Mangalagiri Mission,Comedy,2023-04-19,Pooja Kandula,6145398,5.9
M045,Pochampally Promise,Thriller,2024-06-03,Nithya Reddy,2568587,8.2
M046,Suryapet Signal,Comedy,2023-06-15,Prakash Vemuri,7431592,5.7
M047,Tadepalli Tales,Musical Drama,2024-09-05,Keerthi Menon,4998721,8.3
M048,Jubilee Hills Junction,Action,2024-01-07,Sandeep Alluri,7876516,6.6
M049,Film Nagar Friends,Thriller,2023-09-04,Sandeep Alluri,5659334,6.9
M050,Miyapur Metro,Drama,2024-05-12,Pooja Kandula,1480596,6.6
M051,Hitech City Heist,Musical Drama,2023-05-12,Aditya Polavarapu,4886957,8.0
M052,Banjara Beats,Musical Drama,2024-06-24,Pooja Kandula,5988478,6.7
M053,LB Nagar Love Story,Mythological Fantasy,2024-07-06,Varun Kolli,7023105,8.4
M054,Kukatpally Katha,Romance,2024-02-13,Aditya Polavarapu,6351572,7.9
M055,Begumpet Bandham,Family Drama,2024-06-13,Sowmya Nalluri,1915056,7.3
M056,Uppal Utsavam,Romance,2023-12-13,Sai Praneeth,5835091,6.9
M057,Dilsukhnagar Dosti,Musical Drama,2023-08-14,Sai Praneeth,1495533,6.9
M058,Ameerpet Aspirants,Action,2023-02-02,Pooja Kandula,3671835,6.9
M059,Madhapur Mavericks,Drama,2023-10-13,Aditya Polavarapu,4971951,7.5
M060,Shamshabad Shadow,Romance,2025-01-10,Sandeep Alluri,8301965,7.5
